MET.SUB/DISTRICT/STATION,,AREA(sq. km),,1-Jan-00,2-Jan-00,3-Jan-00,4-Jan-00,5-Jan-00,6-Jan-00,7-Jan-00,8-Jan-00,9-Jan-00,10-Jan-00,11-Jan-00,12-Jan-00,13-Jan-00,14-Jan-00,15-Jan-00,16-Jan-00,17-Jan-00,18-Jan-00,19-Jan-00,20-Jan-00,21-Jan-00,22-Jan-00,23-Jan-00,24-Jan-00,25-Jan-00,26-Jan-00,27-Jan-00,28-Jan-00,29-Jan-00,30-Jan-00,31-Jan-00,1-Feb-00,2-Feb-00,3-Feb-00,4-Feb-00,5-Feb-00,6-Feb-00,7-Feb-00,8-Feb-00,9-Feb-00,10-Feb-00,11-Feb-00,12-Feb-00,13-Feb-00,14-Feb-00,15-Feb-00,16-Feb-00,17-Feb-00,18-Feb-00,19-Feb-00,20-Feb-00,21-Feb-00,22-Feb-00,23-Feb-00,24-Feb-00,25-Feb-00,26-Feb-00,27-Feb-00,28-Feb-00,29-Feb-00,1-Mar-00,2-Mar-00,3-Mar-00,4-Mar-00,5-Mar-00,6-Mar-00,7-Mar-00,8-Mar-00,9-Mar-00,10-Mar-00,11-Mar-00,12-Mar-00,13-Mar-00,14-Mar-00,15-Mar-00,16-Mar-00,17-Mar-00,18-Mar-00,19-Mar-00,20-Mar-00,21-Mar-00,22-Mar-00,23-Mar-00,24-Mar-00,25-Mar-00,26-Mar-00,27-Mar-00,28-Mar-00,29-Mar-00,30-Mar-00,31-Mar-00,1-Apr-00,2-Apr-00,3-Apr-00,4-Apr-00,5-Apr-00,6-Apr-00,7-Apr-00,8-Apr-00,9-Apr-00,10-Apr-00,11-Apr-00,12-Apr-00,13-Apr-00,14-Apr-00,15-Apr-00,16-Apr-00,17-Apr-00,18-Apr-00,19-Apr-00,20-Apr-00,21-Apr-00,22-Apr-00,23-Apr-00,24-Apr-00,25-Apr-00,26-Apr-00,27-Apr-00,28-Apr-00,29-Apr-00,30-Apr-00,1-May-00,2-May-00,3-May-00,4-May-00,5-May-00,6-May-00,7-May-00,8-May-00,9-May-00,10-May-00,11-May-00,12-May-00,13-May-00,14-May-00,15-May-00,16-May-00,17-May-00,18-May-00,19-May-00,20-May-00,21-May-00,22-May-00,23-May-00,24-May-00,25-May-00,26-May-00,27-May-00,28-May-00,29-May-00,30-May-00,31-May-00,1-Jun-00,2-Jun-00,3-Jun-00,4-Jun-00,5-Jun-00,6-Jun-00,7-Jun-00,8-Jun-00,9-Jun-00,10-Jun-00,11-Jun-00,12-Jun-00,13-Jun-00,14-Jun-00,15-Jun-00,16-Jun-00,17-Jun-00,18-Jun-00,19-Jun-00,20-Jun-00,21-Jun-00,22-Jun-00,23-Jun-00,24-Jun-00,25-Jun-00,26-Jun-00,27-Jun-00,28-Jun-00,29-Jun-00,30-Jun-00,1-Jul-00,2-Jul-00,3-Jul-00,4-Jul-00,5-Jul-00,6-Jul-00,7-Jul-00,8-Jul-00,9-Jul-00,10-Jul-00,11-Jul-00,12-Jul-00,13-Jul-00,14-Jul-00,15-Jul-00,16-Jul-00,17-Jul-00,18-Jul-00,19-Jul-00,20-Jul-00,21-Jul-00,22-Jul-00,23-Jul-00,24-Jul-00,25-Jul-00,26-Jul-00,27-Jul-00,28-Jul-00,29-Jul-00,30-Jul-00,31-Jul-00,1-Aug-00,2-Aug-00,3-Aug-00,4-Aug-00,5-Aug-00,6-Aug-00,7-Aug-00,8-Aug-00,9-Aug-00,10-Aug-00,11-Aug-00,12-Aug-00,13-Aug-00,14-Aug-00,15-Aug-00,16-Aug-00,17-Aug-00,18-Aug-00,19-Aug-00,20-Aug-00,21-Aug-00,22-Aug-00,23-Aug-00,24-Aug-00,25-Aug-00,26-Aug-00,27-Aug-00,28-Aug-00,29-Aug-00,30-Aug-00,31-Aug-00,1-Sep-00,2-Sep-00,3-Sep-00,4-Sep-00,5-Sep-00,6-Sep-00,7-Sep-00,8-Sep-00,9-Sep-00,10-Sep-00,11-Sep-00,12-Sep-00,13-Sep-00,14-Sep-00,15-Sep-00,16-Sep-00,17-Sep-00,18-Sep-00,19-Sep-00,20-Sep-00,21-Sep-00,22-Sep-00,23-Sep-00,24-Sep-00,25-Sep-00,26-Sep-00,27-Sep-00,28-Sep-00,29-Sep-00,30-Sep-00,1-Oct-00,2-Oct-00,3-Oct-00,4-Oct-00,5-Oct-00,6-Oct-00,7-Oct-00,8-Oct-00,9-Oct-00,10-Oct-00,11-Oct-00,12-Oct-00,13-Oct-00,14-Oct-00,15-Oct-00,16-Oct-00,17-Oct-00,18-Oct-00,19-Oct-00,20-Oct-00,21-Oct-00,22-Oct-00,23-Oct-00,24-Oct-00,25-Oct-00,26-Oct-00,27-Oct-00,28-Oct-00,29-Oct-00,30-Oct-00,31-Oct-00,1-Nov-00,2-Nov-00,3-Nov-00,4-Nov-00,5-Nov-00,6-Nov-00,7-Nov-00,8-Nov-00,9-Nov-00,10-Nov-00,11-Nov-00,12-Nov-00,13-Nov-00,14-Nov-00,15-Nov-00,16-Nov-00,17-Nov-00,18-Nov-00,19-Nov-00,20-Nov-00,21-Nov-00,22-Nov-00,23-Nov-00,24-Nov-00,25-Nov-00,26-Nov-00,27-Nov-00,28-Nov-00,29-Nov-00,30-Nov-00,1-Dec-00,2-Dec-00,3-Dec-00,4-Dec-00,5-Dec-00,6-Dec-00,7-Dec-00,8-Dec-00,9-Dec-00,10-Dec-00,11-Dec-00,12-Dec-00,13-Dec-00,14-Dec-00,15-Dec-00,16-Dec-00,17-Dec-00,18-Dec-00,19-Dec-00,20-Dec-00,21-Dec-00,22-Dec-00,23-Dec-00,24-Dec-00,25-Dec-00,26-Dec-00,27-Dec-00,28-Dec-00,29-Dec-00,30-Dec-00,31-Dec-00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET. SUBDIVISION: BIHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT: ARARIA,,"2,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARARIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAHARGAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORBESGANJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
